1589708777,55518304,3.007
1589708784,55518306,3.008
1589708789,55518307,3.01
1589708795,55518308,3.006
1589708801,55518310,3.003
1589708806,55518311,3.003
1589708812,55518313,3.006
1589708818,55518314,3.006
1589708823,55518315,4.006
1589708829,55518317,2.006
1589708835,55518318,3.004
1589708840,55518320,3.003
1589708847,55518321,3.003
1589708854,55518323,2.002
1589708862,55518325,3.004
1589708868,55518327,3.002
1589708875,55518329,3.003
1589708883,55518330,3.003
1589708889,55518332,3.004
1589708895,55518334,3.004
1589708901,55518335,3.008
1589708906,55518336,3.006
1589708912,55518338,2.003
1589708918,55518339,3.004
1589708924,55518341,3.005
1589708930,55518343,3.003
1589708936,55518344,2.002
1589708942,55518346,3.002
1589708948,55518347,3.002
1589708954,55518349,3.002
1589708960,55518350,3.003
1589708966,55518352,3.003
1589708972,55518353,3.002
1589708978,55518355,3.003
1589708983,55518356,3.003
